ticker,yf_ticker,asset_class,sub_class,region,sector_style,currency,exchange,source_main,source_backup,is_active,description,tier,note
SGOV,SGOV,Fixed Income,US Treasury (Ultra Short),US,,USD,,yahoo,stooq,1,iShares 0-3 Month Treasury Bond ETF,Satellite,
SHY,SHY,Fixed Income,US Treasury (Short),US,,USD,,yahoo,stooq,1,iShares 1-3 Year Treasury Bond ETF,Core,
IEI,IEI,Fixed Income,US Treasury (Mid),US,,USD,,yahoo,stooq,1,iShares 3-7 Year Treasury Bond ETF,Satellite,
IEF,IEF,Fixed Income,US Treasury (Mid),US,,USD,,yahoo,stooq,1,iShares 7-10 Year Treasury Bond ETF,Core,
TLT,TLT,Fixed Income,US Treasury (Long),US,,USD,,yahoo,stooq,1,iShares 20+ Year Treasury Bond ETF,Core,
EDV,EDV,Fixed Income,US Treasury (Long),US,,USD,,yahoo,stooq,1,Vanguard Extended Duration Treasury ETF,Satellite,
STIP,STIP,Fixed Income,Inflation Protected (TIPS),US,,USD,,yahoo,stooq,1,iShares 0-5 Year TIPS Bond ETF,Satellite,
TIP,TIP,Fixed Income,Inflation Protected (TIPS),US,,USD,,yahoo,stooq,1,iShares TIPS Bond ETF,Satellite,
LQD,LQD,Fixed Income,Corporate (Investment Grade),US,,USD,,yahoo,stooq,1,iShares iBoxx $ Inv Grade Corporate Bond ETF,Core,
VCSH,VCSH,Fixed Income,Corporate (Short),US,,USD,,yahoo,stooq,1,Vanguard Short-Term Corporate Bond ETF,Satellite,
IGIB,IGIB,Fixed Income,Corporate (Mid),US,,USD,,yahoo,stooq,1,iShares 5-10 Year Inv Grade Corporate Bond ETF,Satellite,
VCLT,VCLT,Fixed Income,Corporate (Long),US,,USD,,yahoo,stooq,1,Vanguard Long-Term Corporate Bond ETF ,Satellite,
HYG,HYG,Fixed Income,Corporate (High Yield),US,,USD,,yahoo,stooq,1,iShares iBoxx $ High Yield Corporate Bond ETF,Core,
SHYG,SHYG,Fixed Income,Corporate (High Yield),US,,USD,,yahoo,stooq,1,iShares 0-5 Year High Yield Corporate Bond ETF,Satellite,
EMB,EMB,Fixed Income,Emerging Markets Bond,Emerging Markets,,USD,,yahoo,stooq,1,iShares JP Morgan USD Emerging Markets Bond ETF,Satellite,
BND,BND,Fixed Income,Total Bond Market,US,,USD,,yahoo,stooq,1,Vanguard Total Bond Market ETF,Core,
BNDX,BNDX,Fixed Income,International Bond,Global,,USD,,yahoo,stooq,1,Vanguard Total International Bond ETF,Satellite,
MUB,MUB,Fixed Income,Municipal Bond,US,,USD,,yahoo,stooq,1,iShares National Muni Bond ETF,Satellite,
MBB,MBB,Fixed Income,Mortgage Backed Securities,US,,USD,,yahoo,stooq,1,iShares MBS ETF,Satellite,
CWB,CWB,Fixed Income,Convertible Bond,US,,USD,,yahoo,stooq,1,SPDR Bloomberg Barclays Convertible Securities ETF,Satellite,
PFF,PFF,Fixed Income,Preferred Stock,US,,USD,,yahoo,stooq,1,iShares Preferred and Income Securities ETF,Satellite,
BIL,BIL,Fixed Income,US Treasury (Ultra Short),US,,USD,,yahoo,stooq,1,SPDR Bloomberg 1-3 Month T-Bill ETF,Satellite,
VGSH,VGSH,Fixed Income,US Treasury (Short),US,,USD,,yahoo,stooq,1,Vanguard Short-Term Treasury ETF,Satellite,
VGIT,VGIT,Fixed Income,US Treasury (Mid),US,,USD,,yahoo,stooq,1,Vanguard Intermediate-Term Treasury ETF,Satellite,
VGLT,VGLT,Fixed Income,US Treasury (Long),US,,USD,,yahoo,stooq,0,Vanguard Long-Term Treasury ETF,Satellite,
GOVT,GOVT,Fixed Income,US Treasury (Total),US,,USD,,yahoo,stooq,1,iShares U.S. Treasury Bond ETF,Core,
SPY,SPY,Equity,Large Cap,US,,USD,,yahoo,stooq,1,SPDR S&P 500 ETF Trust,Core,
QQQ,QQQ,Equity,Large Cap (Growth/Tech),US,,USD,,yahoo,stooq,1,Invesco QQQ Trust,Core,
IWM,IWM,Equity,Small Cap,US,,USD,,yahoo,stooq,1,iShares Russell 2000 ETF,Core,
EFA,EFA,Equity,Developed Markets,Developed Markets,,USD,,yahoo,stooq,1,iShares MSCI EAFE ETF,Core,
EEM,EEM,Equity,Emerging Markets,Emerging Markets,,USD,,yahoo,stooq,1,iShares MSCI Emerging Markets ETF,Core,
VTI,VTI,Equity,Total Stock Market,US,,USD,,yahoo,stooq,0,Vanguard Total Stock Market ETF,Core,
VEA,VEA,Equity,Developed Markets,Developed Markets,,USD,,yahoo,stooq,0,Vanguard FTSE Developed Markets ETF,Core,
VWO,VWO,Equity,Emerging Markets,Emerging Markets,,USD,,yahoo,stooq,0,Vanguard FTSE Emerging Markets ETF,Core,
VXUS,VXUS,Equity,Total International Stock,Global,,USD,,yahoo,stooq,0,Vanguard Total International Stock ETF,Core,
VIG,VIG,Equity,Dividend Growth,US,,USD,,yahoo,stooq,1,Vanguard Dividend Appreciation ETF,Satellite,
VYM,VYM,Equity,High Dividend Yield,US,,USD,,yahoo,stooq,1,Vanguard High Dividend Yield ETF,Satellite,
VNQ,VNQ,Equity,Real Estate (REITs),US,,USD,,yahoo,stooq,1,Vanguard Real Estate ETF,Satellite,
XLF,XLF,Equity,Sector (Financials),US,,USD,,yahoo,stooq,1,Financial Select Sector SPDR Fund,Satellite,
XLK,XLK,Equity,Sector (Technology),US,,USD,,yahoo,stooq,1,Technology Select Sector SPDR Fund,Satellite,
XLV,XLV,Equity,Sector (Health Care),US,,USD,,yahoo,stooq,1,Health Care Select Sector SPDR Fund,Satellite,
XLE,XLE,Equity,Sector (Energy),US,,USD,,yahoo,stooq,1,Energy Select Sector SPDR Fund,Satellite,
XLY,XLY,Equity,Sector (Consumer Discretionary),US,,USD,,yahoo,stooq,1,Consumer Discretionary Select Sector SPDR Fund,Satellite,
